ic calculation: SQRT
pos	Ic
49.30	6.246e-01
49.40	6.958e-01
49.50	7.090e-01
49.60	6.115e-01
49.70	6.941e-01
49.70	8.118e-01
49.80	5.972e-01
49.90	6.737e-01
50.00	7.745e-01
50.10	4.529e-01
50.20	6.406e-01
50.30	6.219e-01
50.30	9.480e-01
50.40	6.228e-01
50.50	7.554e-01
50.60	7.507e-01
50.70	9.232e-01
50.80	7.651e-01
50.90	6.806e-01
51.00	7.221e-01
51.10	6.329e-01
51.20	8.788e-01
51.30	1.018e+00
51.30	7.316e-01
51.40	7.757e-01
51.50	6.148e-01
51.60	7.621e-01
51.70	6.277e-01
51.80	8.141e-01
51.90	1.051e+00
52.00	8.835e-01
52.10	6.170e-01
52.20	6.195e-01
52.30	6.738e-01
52.40	9.712e-01
52.50	7.183e-01
52.60	1.076e+00
52.70	5.879e-01
52.80	6.443e-01
52.90	6.282e-01
53.00	9.412e-01
53.10	5.594e-01
53.20	6.918e-01
53.30	5.149e-01
53.40	6.961e-01
53.50	5.157e-01
53.60	7.068e-01
53.70	5.637e-01
53.80	6.502e-01
53.90	7.289e-01
54.00	8.926e-01
54.10	7.329e-01
54.20	6.826e-01
54.30	1.022e+00
54.40	7.905e-01
54.50	6.079e-01
54.60	6.957e-01
54.70	7.179e-01
54.80	8.785e-01
54.90	7.319e-01
55.00	6.361e-01
55.10	6.321e-01
55.20	6.463e-01
55.30	6.357e-01
55.40	6.919e-01
55.50	7.187e-01
55.60	5.406e-01
55.70	8.954e-01
55.90	4.464e-01
56.00	6.199e-01
56.10	8.523e-01
56.20	6.357e-01
56.30	6.226e-01
56.40	6.716e-01
56.50	6.218e-01
56.60	5.613e-01
56.70	8.013e-01
56.80	6.712e-01
57.00	6.563e-01
57.10	7.617e-01
57.20	7.059e-01
57.30	1.007e+00
57.40	6.812e-01
57.50	7.642e-01
57.60	6.247e-01
57.80	1.133e+00
57.90	7.485e-01
58.00	8.090e-01
58.10	6.756e-01
58.20	9.111e-01
58.30	8.414e-01
58.50	7.920e-01
58.60	8.668e-01
58.70	9.515e-01
58.80	7.629e-01
58.90	7.505e-01
59.10	4.713e-01
59.20	6.929e-01
59.30	6.096e-01
59.40	7.425e-01
59.50	8.110e-01
59.70	5.187e-01
59.80	5.915e-01
59.90	6.714e-01
60.00	6.408e-01
60.10	8.046e-01
60.30	7.838e-01
60.40	6.977e-01
60.50	6.912e-01
60.60	8.335e-01
60.70	8.594e-01
60.90	6.754e-01
61.00	8.974e-01
61.10	8.209e-01
61.30	8.665e-01
61.40	6.101e-01
61.50	8.878e-01
61.60	8.614e-01
